"year","month","centroid_latitude","centroid_longitude","events_total","fatalities_total"
"1997","3","-6.211","23.552","3","0"
"1997","3","-5.143","14.385","1","0"
"1997","3","-4.479","15.783","5","1"
"1997","3","-4.235","29.800","1","45"
"1997","3","-3.965","15.474","3","0"
"1997","3","-3.875","29.470","2","2"
"1997","3","-3.859","29.732","1","74"
"1997","3","-3.463","29.485","1","30"
"1997","3","-3.461","30.345","4","13"
"1997","3","-3.394","29.367","8","74"
"1997","3","-3.297","28.167","5","10"
"1997","3","-3.267","29.653","1","2"
"1997","3","-3.118","29.399","1","1"
"1997","3","-2.848","29.262","2","50"
"1997","3","-2.498","25.953","7","0"
"1997","3","-2.286","29.682","2","7"
"1997","3","-1.930","30.133","2","12"
"1997","3","-1.610","29.910","6","169"
"1997","3","-0.551","28.719","1","0"
"1997","3","0.205","25.633","13","121"
"1997","3","0.316","32.591","1","0"
"1997","3","1.379","15.617","1","1"
"1997","3","2.130","29.051","2","0"
"1997","3","2.885","37.706","2","96"
"1997","3","2.887","32.913","1","2"
"1997","3","3.019","32.389","1","0"
"1997","3","3.220","40.711","4","83"
"1997","3","3.337","28.790","1","1"
"1997","3","3.417","33.319","1","0"
"1997","3","3.521","32.623","1","9"
"1997","3","3.533","30.985","1","0"
"1997","3","4.376","18.553","5","7"
"1997","3","4.680","31.690","35","29"
"1997","3","5.036","6.840","2","3"
"1997","3","5.415","-4.067","4","15"
"1997","3","5.760","6.327","10","32"
"1997","3","6.026","48.223","1","0"
"1997","3","6.234","6.942","1","0"
"1997","3","6.434","10.468","8","6"
"1997","3","6.491","3.785","3","6"
"1997","3","6.740","-1.625","1","2"
"1997","3","7.058","-11.130","1","0"
"1997","3","7.543","4.535","2","4"
"1997","3","7.710","-12.000","8","0"
"1997","3","8.205","-10.844","27","0"
"1997","3","8.598","28.474","1","0"
"1997","3","8.964","38.776","2","0"
"1997","3","9.100","-12.678","1","0"
"1997","3","9.118","-11.486","1","0"
"1997","3","11.008","34.095","4","3"
"1997","3","11.048","32.698","1","70"
"1997","3","11.229","30.914","3","8"
"1997","3","12.753","-16.400","3","32"
"1997","3","12.912","-15.554","1","0"
"1997","3","14.206","-15.214","1","0"
"1997","3","14.659","33.229","5","100"
"1997","3","14.737","-17.240","2","0"
"1997","3","15.710","35.536","1","97"
"1997","3","15.915","33.135","1","0"
"1997","3","18.144","-15.958","1","0"
"1997","3","20.074","35.413","6","220"
"1997","3","26.011","33.130","1","1"
"1997","3","29.341","30.620","1","13"
"1997","3","30.037","31.564","3","0"
"1997","3","33.581","-2.391","1","2"
"1997","3","34.897","1.591","1","13"
"1997","3","35.978","3.012","1","50"
"1997","3","36.505","2.956","1","15"
"1997","4","-32.635","22.222","4","1"
"1997","4","-28.942","30.469","2","4"
"1997","4","-25.744","30.148","8","0"
"1997","4","-17.855","31.052","1","0"
"1997","4","-15.534","29.007","2","0"
"1997","4","-15.306","35.328","1","0"
"1997","4","-13.386","19.973","1","200"
"1997","4","-13.080","27.953","1","0"
"1997","4","-10.516","27.620","16","10"
"1997","4","-9.530","16.266","12","0"
"1997","4","-6.813","13.471","2","0"
"1997","4","-6.211","23.552","1","0"
"1997","4","-6.066","22.264","2","0"
"1997","4","-5.143","14.385","2","6"
"1997","4","-4.894","21.118","4","0"
"1997","4","-4.810","18.805","3","0"
"1997","4","-4.479","15.783","4","0"
"1997","4","-4.235","29.800","12","144"
"1997","4","-3.875","29.470","3","14"
"1997","4","-3.865","30.093","1","0"
"1997","4","-3.859","29.732","3","3"
"1997","4","-3.835","14.706","3","0"
"1997","4","-3.394","29.367","4","53"
"1997","4","-3.297","28.167","3","10"
"1997","4","-2.848","29.262","1","0"
"1997","4","-2.558","18.603","1","0"
"1997","4","-2.556","30.166","1","0"
"1997","4","-2.498","25.953","1","10"
"1997","4","-2.286","29.682","1","25"
"1997","4","-2.127","29.391","2","159"
"1997","4","-1.610","29.910","1","16"
"1997","4","-1.560","38.371","1","0"
"1997","4","-1.302","36.827","2","1"
"1997","4","-0.551","28.719","1","10"
"1997","4","-0.453","21.691","1","0"
"1997","4","0.205","25.633","4","12"
"1997","4","0.488","35.306","1","0"
"1997","4","0.498","34.801","1","0"
"1997","4","0.743","35.559","2","7"
"1997","4","2.088","45.393","1","2"
"1997","4","2.885","37.706","1","6"
"1997","4","3.417","33.319","2","60"
"1997","4","3.521","32.623","1","128"
"1997","4","4.376","18.553","4","2"
"1997","4","4.680","31.690","9","600"
"1997","4","4.825","5.959","1","44"
"1997","4","5.760","6.327","11","35"
"1997","4","6.491","3.785","1","2"
"1997","4","7.465","1.078","1","0"
"1997","4","7.710","-12.000","5","0"
"1997","4","8.205","-10.844","5","0"
"1997","4","8.335","-13.066","6","0"
"1997","4","8.598","28.474","3","0"
"1997","4","8.964","38.776","3","1"
"1997","4","9.100","-12.678","2","0"
"1997","4","9.118","-11.486","9","0"
"1997","4","9.365","9.628","1","8"
"1997","4","9.626","41.876","1","0"
"1997","4","11.048","32.698","1","17"
"1997","4","11.229","30.914","6","0"
"1997","4","11.573","8.526","1","1"
"1997","4","12.117","-14.176","1","0"
"1997","4","12.243","7.506","1","15"
"1997","4","12.605","-7.990","3","0"
"1997","4","14.737","-17.240","1","0"
"1997","4","15.710","35.536","4","20"
"1997","4","15.915","33.135","1","0"
"1997","4","20.074","35.413","10","50"
"1997","4","28.213","30.912","2","4"
"1997","4","34.897","1.591","1","80"
